City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,coihaique,0,CL,1523595600,81,-45.58,-72.07,33.8,2.24
1,avarua,20,CK,1523595600,83,-21.21,-159.78,78.8,3.36
2,mackay,90,CA,1523596200,92,53.65,-115.58,28.4,8.05
3,dikson,36,RU,1523598986,100,73.51,80.55,11.01,14.72
4,batsfjord,40,NO,1523595000,98,70.63,29.72,35.6,17.22
5,kapaa,90,US,1523598180,88,22.08,-159.32,75.2,14.99
6,arraial do cabo,0,BR,1523598987,98,-22.97,-42.02,75.0,8.46
7,bluff,56,AU,1523598988,44,-23.58,149.07,84.27,9.24
8,sergeyevka,0,KZ,1523598988,88,53.88,67.42,35.85,9.46
9,victoria,75,BN,1523597400,59,5.28,115.24,91.4,4.7
10,qaanaaq,76,GL,1523598989,85,77.48,-69.36,2.1,5.1
11,ushuaia,75,AR,1523595600,75,-54.81,-68.31,44.6,7.9
12,las vegas,75,US,1523596500,7,36.17,-115.15,60.8,21.92
13,celestun,92,MX,1523598991,96,20.87,-90.4,80.85,19.64
14,marsh harbour,76,BS,1523598991,100,26.54,-77.06,73.47,14.05
15,taltal,56,CL,1523598991,100,-25.41,-70.49,54.21,1.97
16,hobart,40,AU,1523597400,52,-42.88,147.33,64.4,9.17
17,rikitea,80,PF,1523598992,100,-23.12,-134.97,78.15,13.04
18,butaritari,92,KI,1523598992,100,3.07,172.79,82.38,10.02
19,paita,8,PE,1523598993,94,-5.09,-81.11,65.73,2.98
20,tera,0,CY,1523597400,52,34.97,32.42,68.0,2.24
21,piranshahr,92,IR,1523598994,84,36.7,45.14,50.61,1.63
22,nanortalik,8,GL,1523598994,97,60.14,-45.24,26.31,20.87
23,tadine,8,NC,1523598995,97,-21.55,167.88,77.43,19.08
24,atuona,36,PF,1523598995,100,-9.8,-139.03,81.3,13.71
25,cape town,40,ZA,1523595600,87,-33.93,18.42,60.8,6.93
26,saint pete beach,1,US,1523595360,73,27.73,-82.74,71.6,18.34
27,ailigandi,92,PA,1523598996,98,9.23,-78.02,75.36,4.21
28,clyde river,1,CA,1523595600,75,70.47,-68.59,-20.21,3.36
29,pochutla,64,MX,1523598997,100,15.74,-96.47,81.48,8.57
30,kavieng,0,PG,1523598997,100,-2.57,150.8,85.98,4.99
31,puerto ayora,8,EC,1523598998,100,-0.74,-90.35,74.1,4.76
32,lake cowichan,90,CA,1523595600,70,48.82,-124.05,46.4,4.7
33,ancud,20,CL,1523598999,90,-41.87,-73.83,38.19,4.32
34,albany,40,US,1523595240,66,42.65,-73.75,53.6,9.17
35,lithakia,0,GR,1523596800,82,37.72,20.83,57.2,7.56
36,yellowknife,20,CA,1523595600,47,62.45,-114.38,14.0,12.75
37,georgetown,92,GY,1523598982,77,6.8,-58.16,77.7,8.46
38,kaeo,24,NZ,1523599001,73,-35.1,173.78,65.91,14.27
39,narsaq,56,GL,1523595000,68,60.91,-46.05,24.8,3.36
40,jamestown,0,AU,1523599002,22,-33.21,138.6,74.55,22.32
41,virginia beach,1,US,1523596800,58,36.85,-75.98,62.6,13.87
42,bethel,75,US,1523595180,60,60.79,-161.76,42.8,6.93
43,banda aceh,56,ID,1523598963,98,5.56,95.32,80.85,2.75
44,hilo,90,US,1523595180,78,19.71,-155.08,75.2,12.37
45,constitucion,0,MX,1523599004,39,23.99,-104.67,55.65,8.9
46,bredasdorp,88,ZA,1523595600,72,-34.53,20.04,66.2,8.05
47,mataura,24,NZ,1523599005,74,-46.19,168.86,46.65,3.65
48,carnarvon,88,ZA,1523599005,89,-30.97,22.13,58.08,9.69
49,harper,90,US,1523596500,83,30.3,-99.24,75.2,10.29
50,chuy,0,UY,1523599006,84,-33.69,-53.46,61.32,15.28
51,mahebourg,40,MU,1523595600,69,-20.41,57.7,82.4,9.17
52,caucaia,0,BR,1523595600,88,-3.73,-38.66,77.0,3.36
53,ahuimanu,40,US,1523596620,78,21.44,-157.84,78.8,6.93
54,ponta do sol,12,BR,1523599008,90,-20.63,-46.0,56.37,0.63
55,chokurdakh,0,RU,1523599009,90,70.62,147.9,10.02,11.59
56,sorong,24,ID,1523599009,100,-0.86,131.25,82.83,1.63
57,mount gambier,20,AU,1523598978,68,-37.83,140.78,64.29,11.7
58,kumluca,0,TR,1523599010,60,36.37,30.29,60.42,2.08
59,vestmannaeyjar,92,IS,1523599010,91,63.44,-20.27,43.05,16.51
60,busselton,0,AU,1523599011,95,-33.64,115.35,69.87,13.49
61,cherskiy,0,RU,1523599011,69,68.75,161.3,20.82,2.64
62,ostrovnoy,68,RU,1523599011,99,68.05,39.51,32.52,10.8
63,lebu,40,ET,1523595600,77,8.96,38.73,59.0,3.87
64,mizdah,0,LY,1523599012,46,31.45,12.98,57.72,5.21
65,faanui,64,PF,1523599013,100,-16.48,-151.75,81.57,6.67
66,upernavik,68,GL,1523599013,95,72.79,-56.15,6.78,6.78
67,ola,20,RU,1523595600,49,59.58,151.3,26.6,8.95
68,mahibadhoo,92,MV,1523599014,100,3.78,72.97,85.53,10.92
69,vikarabad,0,IN,1523597400,41,17.34,77.9,93.2,4.7
70,tautira,40,PF,1523597400,74,-17.73,-149.15,80.6,4.7
71,aksarka,64,RU,1523599015,97,66.56,67.8,20.91,12.37
72,murgab,0,TM,1523595600,27,37.5,61.97,73.4,4.7
73,ihosy,8,MG,1523599016,67,-22.4,46.13,66.36,14.27
74,krasnogorsk,0,RU,1523595600,55,55.82,37.34,39.2,4.47
75,alice springs,8,AU,1523597400,13,-23.7,133.88,95.0,10.29
76,amahai,12,ID,1523599017,100,-3.31,129.0,83.37,6.67
77,abu samrah,0,SY,1523599017,93,35.3,37.18,59.97,6.11
78,florianopolis,0,BR,1523595600,94,-27.6,-48.55,71.6,5.82
79,guerrero negro,0,MX,1523598883,84,27.97,-114.04,57.18,19.08
80,punta arenas,75,CL,1523595600,75,-53.16,-70.91,44.6,13.87
81,monte alegre,56,BR,1523599018,88,-2.0,-54.07,76.35,3.87
82,longyearbyen,75,NO,1523595000,74,78.22,15.63,28.4,20.8
83,barrow,0,AR,1523599019,68,-38.31,-60.23,42.42,5.99
84,port alfred,0,ZA,1523599020,91,-33.59,26.89,71.49,7.56
85,maraba,75,BR,1523595600,100,-5.35,-49.1,75.2,2.24
86,kaputa,92,ZM,1523599021,100,-8.47,29.66,64.02,2.08
87,camacha,40,PT,1523597400,67,33.08,-16.33,59.0,18.34
88,nuuk,90,GL,1523595000,92,64.17,-51.74,21.2,10.29
89,severo-kurilsk,76,RU,1523599022,93,50.68,156.12,33.96,8.23
90,lavrentiya,20,RU,1523599023,93,65.58,-170.99,16.41,40.67
91,satipo,92,PE,1523599023,95,-11.26,-74.64,65.55,2.19
92,quezon,36,PH,1523599023,60,16.49,121.26,84.63,2.42
93,mar del plata,0,AR,1523599024,100,-46.43,-67.52,37.02,3.2
94,muros,75,ES,1523597400,100,42.77,-9.06,44.6,6.11
95,kutum,0,SD,1523599025,16,14.2,24.66,68.88,6.78
96,westport,75,IE,1523597400,100,53.8,-9.52,42.8,2.24
97,ilulissat,44,GL,1523595000,78,69.22,-51.1,14.0,3.36
98,new norfolk,40,AU,1523597400,52,-42.78,147.06,64.4,9.17
99,rincon,1,US,1523597700,97,32.3,-81.24,60.8,4.88
100,yuanping,92,CN,1523599026,93,38.72,112.71,44.13,3.31
101,tuktoyaktuk,90,CA,1523595600,85,69.44,-133.03,10.4,24.16
102,dakar,32,SN,1523598980,91,14.69,-17.45,66.45,21.54
103,laguna,0,MX,1523599028,74,27.52,-110.01,64.11,2.19
104,port elizabeth,1,US,1523595360,58,39.31,-74.98,64.4,6.93
105,airai,24,TL,1523599028,52,-8.93,125.41,84.9,1.86
106,vaini,0,IN,1523599029,29,15.34,74.49,93.99,1.74
107,syamzha,36,RU,1523599029,93,60.02,41.06,34.68,12.59
108,avera,1,US,1523597700,72,33.19,-82.53,62.6,4.7
109,markova,0,RU,1523595600,34,52.21,104.21,48.2,6.71
110,mandera,88,ET,1523599031,100,3.94,41.86,75.45,4.21
111,jalu,76,LY,1523599031,18,29.03,21.55,87.51,14.72
112,aitape,36,PG,1523599031,95,-3.15,142.36,82.92,7.78
113,kermanshah,75,IR,1523595600,87,34.32,47.07,48.2,11.41
114,valday,0,RU,1523599032,69,57.98,33.25,38.82,4.43
115,grindavik,90,IS,1523595600,93,63.84,-22.43,42.8,11.41
116,henties bay,0,NA,1523599033,94,-22.12,14.28,65.82,6.78
117,san vicente,20,SV,1523598600,94,13.64,-88.78,77.0,9.17
118,cockburn town,24,TC,1523599034,100,21.46,-71.14,77.7,14.94
119,saskylakh,24,RU,1523599035,91,71.97,114.09,7.32,7.11
120,port moresby,40,PG,1523595600,66,-9.47,147.16,87.8,9.17
121,port macquarie,8,AU,1523595600,28,-31.43,152.91,86.0,5.82
122,opuwo,12,NA,1523599036,90,-18.06,13.84,61.14,4.99
123,padang,20,ID,1523599003,100,-0.92,100.36,82.65,5.66
124,raudeberg,0,NO,1523596800,52,61.99,5.14,44.6,9.17
125,codrington,68,AU,1523599037,69,-28.95,153.24,74.37,5.21
126,castro,24,CL,1523599037,100,-42.48,-73.76,35.76,4.99
127,provideniya,20,RU,1523595600,57,64.42,-173.23,17.6,20.13
128,pontes e lacerda,12,BR,1523599038,91,-15.23,-59.33,71.58,4.99
129,bathsheba,40,BB,1523595600,78,13.22,-59.52,77.0,23.04
130,tartaro,75,PH,1523595600,52,15.17,121.02,91.4,9.17
131,hofn,68,IS,1523599040,92,64.25,-15.21,40.8,11.14
132,ouesso,88,CG,1523599040,99,1.61,16.05,71.67,2.75
133,iki-burul,0,RU,1523595600,78,45.82,44.65,41.0,15.66
134,myitkyina,12,MM,1523599027,52,25.38,97.4,86.43,3.09
135,lompoc,1,US,1523597700,37,34.64,-120.46,53.6,11.41
136,saldanha,64,PT,1523599041,99,41.42,-6.55,39.9,2.75
137,meulaboh,8,ID,1523599042,100,4.14,96.13,85.98,6.67
138,isla mujeres,20,MX,1523594700,83,21.23,-86.73,78.8,9.17
139,caluquembe,92,AO,1523599042,99,-13.78,14.68,60.42,3.42
140,kanash,0,RU,1523595600,37,55.51,47.5,37.4,6.71
141,kanniyakumari,68,IN,1523599043,100,8.08,77.57,81.75,12.82
142,saint george,40,GR,1523596800,93,39.45,22.34,50.0,3.98
143,geraldton,5,CA,1523595600,52,49.72,-86.95,19.4,2.24
144,saint-ambroise,76,FR,1523597400,100,47.25,-0.65,42.8,1.12
145,souillac,75,FR,1523597400,93,45.6,-0.6,48.2,5.82
146,caravelas,80,BR,1523599045,100,-17.73,-39.27,78.15,7.0
147,namatanai,24,PG,1523599045,93,-3.66,152.44,86.16,7.34
148,alofi,24,NU,1523595600,88,-19.06,-169.92,77.0,16.11
149,klaksvik,8,FO,1523596800,81,62.23,-6.59,42.8,16.11
150,katsuura,0,JP,1523595600,21,33.93,134.5,62.6,5.82
151,margate,40,AU,1523597400,52,-43.03,147.26,64.4,9.17
152,kungurtug,12,RU,1523599047,59,50.6,97.53,35.67,4.65
153,richards bay,0,ZA,1523599048,77,-28.77,32.06,70.5,14.5
154,grand forks,1,US,1523596500,63,47.91,-97.06,30.2,11.41
155,dalvik,0,SE,1523596800,74,57.79,14.13,35.6,6.93
156,kristiansund,0,NO,1523596800,33,63.12,7.73,46.4,5.82
157,sao joao da barra,88,BR,1523599050,100,-21.64,-41.05,74.37,3.98
158,obeliai,0,LT,1523599050,71,55.94,25.8,40.26,11.48
159,palma gil,75,PH,1523595600,66,7.64,125.63,87.8,12.75
160,brae,20,GB,1523596800,93,60.4,-1.35,42.8,10.29
161,guane,8,CU,1523599051,94,22.2,-84.09,70.77,5.44
162,quelimane,40,MZ,1523595600,94,-17.88,36.89,75.2,3.36
163,cabo san lucas,5,MX,1523594460,64,22.89,-109.91,69.8,5.82
164,torbay,5,CA,1523595600,85,47.66,-52.73,21.2,6.93
165,san patricio,80,PY,1523599053,77,-26.98,-56.83,77.07,5.77
166,yarmouth,90,GB,1523596800,93,50.71,-1.5,44.6,3.36
167,saint-philippe,90,CA,1523596740,100,45.36,-73.48,44.6,9.17
168,stephenville,75,US,1523596500,73,32.22,-98.2,73.4,18.34
169,qasigiannguit,44,GL,1523595000,78,68.82,-51.19,14.0,3.36
170,oranjemund,88,ZA,1523599056,100,-28.55,16.43,61.05,4.76
171,hithadhoo,48,MV,1523599056,100,-0.6,73.08,83.01,11.81
172,dwarka,0,IN,1523595600,22,28.58,77.04,87.8,5.82
173,santa ana,20,SV,1523598600,94,13.99,-89.56,71.6,9.17
174,thompson,75,CA,1523595600,54,55.74,-97.86,3.2,2.24
175,vestmanna,20,FO,1523596800,81,62.16,-7.17,42.8,16.11
176,east london,0,ZA,1523595600,72,-33.02,27.91,66.2,6.93
177,mwadui,92,TZ,1523599058,100,-3.55,33.6,65.28,4.99
178,karratha,0,AU,1523599059,11,-20.74,116.85,103.17,9.13
179,kruisfontein,0,ZA,1523599059,88,-34.0,24.73,65.01,11.59
180,pangnirtung,44,CA,1523599061,62,66.15,-65.72,-7.71,3.09
181,am timan,0,TD,1523599061,24,11.04,20.28,76.53,3.98
182,kodinsk,92,RU,1523599061,79,58.6,99.18,44.58,8.23
183,kaduqli,0,SD,1523599062,31,11.01,29.72,82.65,5.21
184,bambous virieux,40,MU,1523595600,69,-20.34,57.76,82.4,9.17
185,taoudenni,0,ML,1523599063,38,22.68,-3.98,59.43,11.48
186,ketchikan,90,US,1523597700,87,55.34,-131.65,44.6,8.05
187,port hedland,0,AU,1523597400,25,-20.31,118.58,98.6,14.99
188,sao filipe,68,CV,1523599064,99,14.9,-24.5,69.96,18.41
189,arman,20,RU,1523595600,49,59.7,150.17,26.6,8.95
190,guarambare,40,PY,1523595600,88,-25.48,-57.47,77.0,13.87
